config_folder,game_id,crew_size,imposter_count,winner_reason,num_ejections,num_directives_total,num_directives_imposter,num_representatives_total,num_representatives_imposter,num_commissives_total,num_commissives_imposter,num_expressives_total,num_expressives_imposter,num_missing_total,num_missing_imposter
SEVEN_V_ONE_LOG,Game 83,8,1,0,3,69.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 84,8,1,1,2,27.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
SEVEN_V_ONE_LOG,Game 85,8,1,1,2,43.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SEVEN_V_ONE_LOG,Game 86,8,1,0,2,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
SEVEN_V_ONE_LOG,Game 87,8,1,1,0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SEVEN_V_ONE_LOG,Game 88,8,1,1,3,57.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SEVEN_V_ONE_LOG,Game 89,8,1,0,3,39.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SEVEN_V_ONE_LOG,Game 90,8,1,0,4,83.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
SEVEN_V_ONE_LOG,Game 91,8,1,0,3,59.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SEVEN_V_ONE_LOG,Game 92,8,1,0,2,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SEVEN_V_ONE_LOG,Game 93,8,1,1,1,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 94,8,1,1,3,61.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
SEVEN_V_ONE_LOG,Game 95,8,1,0,1,29.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
SEVEN_V_ONE_LOG,Game 96,8,1,0,2,34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SEVEN_V_ONE_LOG,Game 97,8,1,1,2,50.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
SEVEN_V_ONE_LOG,Game 98,8,1,1,2,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEVEN_V_ONE_LOG,Game 99,8,1,0,3,79.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SEVEN_V_ONE_LOG,Game 100,8,1,1,3,42.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 1,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 2,7,3,0,1,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 3,7,3,0,0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
FOUR_V_THREE_LOG,Game 4,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 5,7,3,0,1,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 6,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 7,7,3,1,2,47.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
FOUR_V_THREE_LOG,Game 8,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 9,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 10,7,3,0,1,45.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 11,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 12,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 13,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 14,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 15,7,3,0,0,20.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 16,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 17,7,3,0,1,19.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
FOUR_V_THREE_LOG,Game 18,7,3,0,3,50.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
FOUR_V_THREE_LOG,Game 19,7,3,0,2,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 20,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 21,7,3,0,1,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 22,7,3,0,1,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FOUR_V_THREE_LOG,Game 23,7,3,0,1,18.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 24,7,3,0,1,15.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
